Video,Second,L_C,L_A,R_C,R_A
AAKTSE1,4.624671346356425e-15,-0.173405889,-376.0662127,229.70856724487518,611.1508706857426
AAKTSE1,5.393525552439506e-15,56.32895998949425,-402.4399322,369.19212809963494,696.9959671838751
AAKTSE1,1.3267807116123588e-14,59.42243697926114,-401.6614294,295.30013339883976,638.2777303486738
AAKTSE1,6.9312339646056805e-15,57.47591396902803,-393.8329266,10.278138698044792,318.3039379579176
AAKTSE1,7.70008817068876e-15,41.754946514350905,-404.4777571,7.949477330582329,423.5890344560494
AAKTSE1,8.468942376771841e-15,26.19842350411744,-414.6425877,83.01303819,758.5430198430702
AAKTSE1,9.237796582854922e-15,46.081496453479694,-449.1474182,77.07104348,764.1603385634251
AAKTSE1,1.0006650788938017e-14,106.4909330392066,-469.5989154,-190.9098401,425.03765728377914
AAKTSE1,1.0775504995021096e-14,33.11461204917536,-406.8515238,-115.2159762,270.51639014554775
AAKTSE1,4.4389318435031745e-15,-142.9876685,-167.953021,59.71839271549329,228.4911836133776
AAKTSE1,5.207786049586268e-15,-337.5097471,-10.98340708,137.53195357025405,139.0729467781764
AAKTSE1,5.976640255669349e-15,-203.735159,-174.8293487,128.2788477583478,142.6147099429752
AAKTSE1,6.745494461752429e-15,-448.1427931,-272.4164015,178.67018639088562,395.3109175522182
AAKTSE1,7.514348667835511e-15,-180.8859828,-405.261232,237.43596946786752,431.3837918281288
AAKTSE1,8.28320287391859e-15,259.5452719675748,-499.8727293,267.37508587818326,488.75777721514964
AAKTSE1,1.946629722400682e-15,140.20874895734173,-403.849782,77.72086895516604,395.94731815772656
AAKTSE1,2.7154839284837626e-15,-26.35777405,-374.929057,-7.766681301,362.77463687808125
AAKTSE1,3.4843381345668433e-15,-9.935408174,-369.2902512,-9.784231558,735.7552889317691
AAKTSE1,4.253192340649924e-15,-66.23748674,-391.4053848,-27.71349899,824.8872541167699
AAKTSE1,5.0220465467330046e-15,-154.8684542,-432.5657709,125.55177904087324,769.7299263724777
AAKTSE1,5.790900752816085e-15,-72.6749772,-439.0083792,-20.72799344,613.9928006483875
AAKTSE1,6.559754958899166e-15,-80.66150022,-444.3998764,-88.40665481,569.5223415909643
AAKTSE1,2.2318180738125743e-16,22.994198996820963,-458.8769292,2.340239382931565,648.5585492002081
AAKTSE1,9.92036013464338e-16,61.50989820880986,-521.0495375,145.96380023769137,607.8758679205624
AAKTSE1,8.86631757714842e-15,23.625597420799465,-504.804368,40.92847220356212,410.0254088631391
AAKTSE1,9.6351717832315e-15,26.372407743899664,-454.6880875,129.69274012902997,690.2146467754137
AAKTSE1,1.0404025989314582e-14,-6.084115266,-407.9873625,35.66781613530473,654.8111574149594
AAKTSE1,1.1172880195397664e-14,-70.23841605,-383.4666374,-95.28973412,433.2640316908693
AAKTSE1,4.836307043879754e-15,-117.6571613,-313.5003569,-175.713951,396.3446837445571
AAKTSE1,5.605161249962835e-15,-126.6070176,-303.1518541,19.426276477363103,666.9764469093562
AAKTSE1,6.3740154560459146e-15,-36.82020731,-337.0433513,61.958726221011915,674.0748767408217
AAKTSE1,7.142869662128996e-15,33.853269682501015,-350.7548485,123.85339818688368,485.55552879450954
AAKTSE1,7.911723868212077e-15,114.18341333893486,-360.4507902,152.61695904164353,269.97729195930833
AAKTSE1,8.680578074295157e-15,142.1339610357726,-396.0033985,316.3694087852923,767.1859238109762
AAKTSE1,9.449432280378238e-15,148.47925620735728,-513.9493401,151.33074741783008,633.6019294000171
AAKTSE1,3.11285912886033e-15,282.80717764156856,-133.8908374,76.18875271703494,-63.9429741
AAKTSE1,3.88171333494341e-15,217.48509907577986,-170.8101123,89.10009134957264,-338.8556554
AAKTSE1,4.650567541026491e-15,-74.90475727,-299.286054,83.18809664877745,-344.6594478
AAKTSE1,5.4194217471095715e-15,-1.462391389,-71.12532899,76.12943528131525,-420.2299068
AAKTSE1,6.188275953192652e-15,191.32775226730212,452.9653960213445,50.44410724718702,-416.5192548
AAKTSE1,6.957130159275733e-15,36.56456259,520.0016765879157,72.80877921,-397.5674916
AAKTSE1,6.205570077578243e-16,-37.03196042,725.3612904878204,108.44678451226262,-451.1079507
AAKTSE1,1.389411213840905e-15,-62.39070565,815.1842377210585,61.715900922578385,-602.2117431
AAKTSE1,2.1582654199239857e-15,-96.07500644,883.647185,-2.019427112,-673.8755355
AAKTSE1,2.9271196260070663e-15,-203.0793072,732.6979099653114,-21.91586626,-654.2393278
AAKTSE1,3.695973832090153e-15,-241.7869413,774.9453016429937,-20.69008318,-648.9642313
AAKTSE1,1.1570255395774236e-14,-229.0390199,763.2238044317872,-54.16874455,-510.7235793
AAKTSE1,5.233682244256327e-15,-382.9599874,788.9545294428026,-8.951850359,-432.1162606
AAKTSE1,6.002536450339408e-15,-207.1542882,1055.1341433427071,52.70726605113815,-552.900053
AAKTSE1,6.771390656422489e-15,-2.234144502,982.6082016870564,-4.919173094,-592.0216231
AAKTSE1,7.540244862505571e-15,-92.8795564,595.8178156,-38.01561224,-641.2009711
AAKTSE1,8.30909906858865e-15,-66.76830163,488.0107628201992,-72.36871805,-674.1447635
AAKTSE1,9.07795327467173e-15,-40.76371353,605.4737100534367,-77.04849053,-716.539667
AAKTSE1,9.846807480754811e-15,-73.97134765,594.6755461755632,-82.15826301,-711.8290149
AAKTSE1,3.5102343292369028e-15,-85.85342622,737.7573822976905,-81.43359104,-705.1650295
AAKTSE1,4.2790885353199834e-15,-48.00217145,575.5914406420392,-82.94780797,-659.4977108
AAKTSE1,5.047942741403064e-15,15.80302270950226,449.1086302995193,-25.28758044,-594.9037254
AAKTSE1,5.816796947486145e-15,69.02478252755105,597.8373351085145,48.87264707731326,-571.5164067
AAKTSE1,6.5856511535692254e-15,-6.756184927,713.0147267861971,-95.2471254,-725.8682546
AAKTSE1,3.8017916808518115e-15,-80.1393746,412.8832295749906,-81.11689788,-734.5951026
